# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
17,Pre-Flop,0,-300,300,RAISE,98,"['4h', 'Ad']","['6h', '5s']","['9d', '7h']",,2s,2,2
17,Pre-Flop,1,-300,300,CALL,0,"['4h', 'Ad']","['6h', '5s']","['9d', '7h']",,2s,2,2
17,Flop,1,-300,300,CHECK,0,"['4h', 'Ad']","['6h', '5s']","['9d', '7h', '6d']",,2s,100,100
17,Flop,0,-300,300,CHECK,0,"['4h', 'Ad']","['6h', '5s']","['9d', '7h', '6d']",,2s,100,100
17,Turn,1,-300,300,CHECK,0,"['4h', 'Ad']","['6h', '5s']","['9d', '7h', '6d', '2h']",,2s,100,100
17,Turn,0,-300,300,CHECK,0,"['4h', 'Ad']","['6h', '5s']","['9d', '7h', '6d', '2h']",,2s,100,100
17,River,1,-300,300,CHECK,0,"['4h', 'Ad']","['6h', '5s']","['9d', '7h', '6d', '2h', '4s']",,2s,100,100
17,River,0,-300,300,CHECK,0,"['4h', 'Ad']","['6h', '5s']","['9d', '7h', '6d', '2h', '4s']",,2s,100,100
18,Pre-Flop,0,-400,400,RAISE,98,"['3s', '2h']","['4h', '2d']","['3d', '8d']",,,1,1
18,Pre-Flop,1,-400,400,DISCARD,0,"['3s', '2h']","['4h', '2d']","['3d', '8d']",,,2,2
18,Pre-Flop,1,-400,400,CALL,0,"['3s', '2h']","['4h', '8h']","['3d', '8d']",,2d,2,2
18,Flop,0,-400,400,CHECK,0,"['3s', '2h']","['4h', '8h']","['3d', '8d', '5h']",,2d,100,100
18,Flop,1,-400,400,CHECK,0,"['3s', '2h']","['4h', '8h']","['3d', '8d', '5h']",,2d,100,100
18,Turn,0,-400,400,CHECK,0,"['3s', '2h']","['4h', '8h']","['3d', '8d', '5h', 'Ah']",,2d,100,100
18,Turn,1,-400,400,CHECK,0,"['3s', '2h']","['4h', '8h']","['3d', '8d', '5h', 'Ah']",,2d,100,100
18,River,0,-400,400,CHECK,0,"['3s', '2h']","['4h', '8h']","['3d', '8d', '5h', 'Ah', '8s']",,2d,100,100
18,River,1,-400,400,CHECK,0,"['3s', '2h']","['4h', '8h']","['3d', '8d', '5h', 'Ah', '8s']",,2d,100,100
19,Pre-Flop,1,-500,500,DISCARD,0,"['8d', '9h']","['9d', '5h']","['6h', '4s']",,,1,1
19,Pre-Flop,1,-500,500,CALL,0,"['8d', '9h']","['9s', '5h']","['6h', '4s']",,9d,1,1
19,Pre-Flop,0,-500,500,RAISE,98,"['8d', '9h']","['9s', '5h']","['6h', '4s']",,9d,2,2
19,Pre-Flop,1,-500,500,CALL,0,"['8d', '9h']","['9s', '5h']","['6h', '4s']",,9d,2,2
19,Flop,1,-500,500,CHECK,0,"['8d', '9h']","['9s', '5h']","['6h', '4s', '4h']",,9d,100,100
19,Flop,0,-500,500,CHECK,0,"['8d', '9h']","['9s', '5h']","['6h', '4s', '4h']",,9d,100,100
19,Turn,1,-500,500,CHECK,0,"['8d', '9h']","['9s', '5h']","['6h', '4s', '4h', '2s']",,9d,100,100
19,Turn,0,-500,500,CHECK,0,"['8d', '9h']","['9s', '5h']","['6h', '4s', '4h', '2s']",,9d,100,100
19,River,1,-500,500,CHECK,0,"['8d', '9h']","['9s', '5h']","['6h', '4s', '4h', '2s', 'As']",,9d,100,100
19,River,0,-500,500,CHECK,0,"['8d', '9h']","['9s', '5h']","['6h', '4s', '4h', '2s', 'As']",,9d,100,100
20,Pre-Flop,0,-400,400,RAISE,98,"['9d', '2d']","['6s', '8h']","['Ad', '7s']",,,1,1
20,Pre-Flop,1,-400,400,DISCARD,0,"['9d', '2d']","['6s', '8h']","['Ad', '7s']",,,2,2
